name,url,ingredients,rating,rating_count,image_url
World's Best Lasagna,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,"1 pound sweet Italian sausage ; ¾ pound lean ground beef ; ½ cup minced onion ; 2 cloves garlic, crushed ; 1 (28 ounce) can crushed tomatoes ; 2 (6 ounce) cans tomato paste ; 2 (6.5 ounce) cans canned tomato sauce ; ½ cup water ; 2 tablespoons white sugar ; 1 ½ teaspoons dried basil leaves ; ½ teaspoon fennel seeds ; 1 teaspoon Italian seasoning ; 1 ½ teaspoons salt, divided, or to taste ; ¼ teaspoon ground black pepper ; 4 tablespoons chopped fresh parsley ; 12  lasagna noodles ; 16 ounces ricotta cheese ; 1  egg ; ¾ pound mozzarella cheese, sliced ; ¾ cup grated Parmesan cheese",4.8,19358,https://www.allrecipes.com/thmb/htylprTl3RuTsFquG9YtbU1pzy0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/23600-worlds-best-lasagna-DDMFS-4x3-1196-24c5401652934ffb96d3d94bc9fbe2d7.jpg
Best Chocolate Chip Cookies,https://www.allrecipes.com/recipe/10813/best-chocolate-chip-cookies/,"1 cup butter, softened ; 1 cup white sugar ; 1 cup packed brown sugar ; 2  eggs ; 2 teaspoons vanilla extract ; 1 teaspoon baking soda ; 2 teaspoons hot water ; ½ teaspoon salt ; 3 cups all-purpose flour ; 2 cups semisweet chocolate chips ; 1 cup chopped walnuts",4.62,18021,https://www.allrecipes.com/thmb/8xwaWAHtl_QLij6D-G0Z4B1HDVA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/10813-best-chocolate-chip-cookies-mfs-146-4x3-b108aceffa6043a1ac81c3c5a9b034c8.jpg
Good Old Fashioned Pancakes,https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/,"1 ½ cups all-purpose flour ; 3 ½ teaspoons baking powder ; 1 teaspoon salt ; 1 tablespoon white sugar ; 1 ¼ cups milk ; 1  egg ; 3 tablespoons butter, melted",4.56,17098,https://www.allrecipes.com/thmb/FE0PiuuR0Uh06uVh1c2AsKjRGbc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21014-Good-old-Fashioned-Pancakes-mfs_002-0e249c95678f446291ebc9408ae64c05.jpg
Fluffy Pancakes,https://www.allrecipes.com/recipe/162760/fluffy-pancakes/,"¾ cup milk ; 2 tablespoons white vinegar ; 1 cup all-purpose flour ; 2 tablespoons white sugar ; 1 teaspoon baking powder ; ½ teaspoon baking soda ; ½ teaspoon salt ; 1  egg ; 2 tablespoons butter, melted ;   cooking spray",4.82,16778,https://www.allrecipes.com/thmb/dOTb-yf_t1CXgw91lg69Wvzrl8E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-162760-fluffy-pancakes-DDMFS-beauty-3x4-35d4b54b54464701b32870d4b1646bfe.jpg
Apple Pie by Grandma Ople,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,"1 recipe pastry for a 9 inch double crust pie ; ½ cup unsalted butter ; 3 tablespoons all-purpose flour ; ¼ cup water ; ½ cup white sugar ; ½ cup packed brown sugar ; 8  Granny Smith apples - peeled, cored and sliced",4.78,15237,https://www.allrecipes.com/thmb/9qLdYfie0xmoqYq_Z-agY1iA1oc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ar-12682-apple-pie-by-grandma-ople-ddmfs-beauty-1-3-d9f3f4e8bdab4997908fe8fa867935d5.jpg
Delicious Ham and Potato Soup,https://www.allrecipes.com/recipe/56927/delicious-ham-and-potato-soup/,"3 ½ cups peeled and diced potatoes ; ⅓ cup diced celery ; ⅓ cup finely chopped onion ; ¾ cup diced cooked ham ; 3 ¼ cups water ; 2 tablespoons chicken bouillon granules ; ½ teaspoon salt, or to taste ; 1 teaspoon ground white or black pepper, or to taste ; 5 tablespoons butter ; 5 tablespoons all-purpose flour ; 2 cups milk",4.84,14659,https://www.allrecipes.com/thmb/qV68-e1-uToyqXMHmZT170wNZPk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-recipe-56927-delicious-ham-and-potato-soup-hero-01-ddmfs-4x3-c5438ce16a834a8690fdca5ee2f1acff.jpg
Best Brownies,https://www.allrecipes.com/recipe/10549/best-brownies/,"½ cup butter ; 1 cup white sugar ; 2  eggs ; 1 teaspoon vanilla extract ; ⅓ cup unsweetened cocoa powder ; ½ cup all-purpose flour ; ¼ teaspoon salt ; ¼ teaspoon baking powder ; 3 tablespoons butter, softened ; 3 tablespoons unsweetened cocoa powder ; 1 tablespoon honey ; 1 teaspoon vanilla extract ; 1 cup confectioners' sugar",4.53,13390,https://www.allrecipes.com/thmb/xRXidY0DdIPsZdMyTC48ZGQePWo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/10549best-browniesKimvideo4x3-fc60972f21104322a02b4347b657daed.jpg
Chicken Pot Pie IX,https://www.allrecipes.com/recipe/26317/chicken-pot-pie-ix/,"1 pound skinless, boneless chicken breast halves - cubed ; 1 cup sliced carrots ; 1 cup frozen green peas ; ½ cup sliced celery ; ⅓ cup butter ; ⅓ cup chopped onion ; ⅓ cup all-purpose flour ; ½ teaspoon salt ; ¼ teaspoon black pepper ; ¼ teaspoon celery seed ; 1 ¾ cups chicken broth ; ⅔ cup milk ; 2 (9 inch)  unbaked pie crusts",4.81,12978,https://www.allrecipes.com/thmb/RhXXFvLdzhekFl5VdF9A40KvK9c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/26317-chicken-pot-pie-mfs-480-7e84da80505a410fa75139eab67a652f.jpg
"Best Big, Fat, Chewy Chocolate Chip Cookie",https://www.allrecipes.com/recipe/25037/best-big-fat-chewy-chocolate-chip-cookie/,"2 cups all-purpose flour ; ½ teaspoon baking soda ; ½ teaspoon salt ; ¾ cup unsalted butter, melted ; 1 cup packed brown sugar ; ½ cup white sugar ; 1 tablespoon vanilla extract ; 1  egg ; 1  egg yolk ; 2 cups semisweet chocolate chips",4.63,12133,https://www.allrecipes.com/thmb/GpNqyTftluPyp627Q8Ei4j9L6b8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-25037-best-big-fat-chewy-chocolate-chip-cookie-ddmfs-beauty-4x3-4f6288eb3e904ba8be1c400cdcd178b0.jpg
The Best Rolled Sugar Cookies,https://www.allrecipes.com/recipe/10402/the-best-rolled-sugar-cookies/,"1 ½ cups butter, softened ; 2 cups white sugar ; 4  eggs ; 1 teaspoon vanilla extract ; 5 cups all-purpose flour ; 2 teaspoons baking powder ; 1 teaspoon salt",4.44,11155,https://www.allrecipes.com/thmb/_ny7XzRjYztbPM8Gi_tMd95aOZg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/10402-The-best-rolled-sugar-cookies-DDMFS-4x3-257b10612f064df5a4b33dc331dcc4b4.jpg
